#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id
5;15;1;2;Y;;null;180203;;2FBC;1415
4;3;23;2;Y;;null;120102;;101D;1286
2;3;42;2;Y;;null;130102;;2F3C;525
1;5;51;2;Y;;null;110101;;3080;408
2;9;15;2;Y;;null;130201;;2207;791
4;2;138;2;Y;;null;120101;;10E3;1067
4;2;59;2;Y;;null;120101;;410F;1170
1;2;80;2;Y;;null;110200;;3111;116
1;5;43;2;Y;;null;110101;;335C;341
4;2;128;2;Y;;null;120101;;106C;1009
2;3;71;2;Y;;null;130102;;2201;542
1;4;76;2;Y;;null;110102;;3094;209
2;6;20;2;Y;;null;130301;;34A3;754
2;20;8;2;Y;;null;130700;;2224;918
4;2;25;2;Y;;null;120101;;1027;1071
4;2;28;2;Y;;null;120101;;1058;1075
1;5;11;2;Y;;null;110101;;3315;292
1;2;35;2;Y;;null;110200;;3054;38
2;8;3;2;Y;;null;130203;;342E;774
1;5;203;2;Y;;null;110101;;310C;400
4;3;85;2;Y;;null;120102;;1081;1294
5;12;3;2;Y;;null;180201;;4123;1405
1;5;132;2;Y;;null;110101;;310B;338
1;4;42;2;Y;;null;110102;;3088;179
2;3;53;2;Y;;null;130102;;2F15;594
1;5;141;2;Y;;null;110101;;3102;278
4;2;87;2;Y;;null;120101;;101A;1100
2;6;26;2;Y;;null;130301;;3494;760
4;3;0;1;N;;null;120102;;;1221
