#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;series;lang;filename
327;N;8;9;0;1;電力公司．變電所;null;322500;;CHT;
328;N;8;10;0;1;瓦斯公司;null;323000;;CHT;
329;N;8;11;0;1;電訊事業;null;323100;;CHT;
330;N;8;11;1;2;所有電訊事業;0;0;;CHT;
331;Y;8;11;2;2;威寶電信;null;323100;威寶電信;CHT;
332;Y;8;11;3;2;遠傳電信;null;323100;遠傳電信;CHT;
333;Y;8;11;4;2;家樂福電信;null;323100;家樂福電信;CHT;
334;Y;8;11;5;2;全球一動;null;323100;全球一動;CHT;
335;Y;8;11;6;2;台灣大哥大;null;323100;台灣大哥大;CHT;
336;Y;8;11;7;2;中華電信;null;323100;中華電信;CHT;
337;Y;8;11;8;2;亞太電信;null;323100;亞太電信;CHT;
338;N;8;12;0;1;農會;null;323300;;CHT;
339;N;8;13;0;1;其他產業設施;null;324000;;CHT;
1000;N;9;0;0;0;Dummy;1;0;;CHT;
