2016-01-21 10:45:43,200 - INFO: proj_rdf_module----start to process rdf_ase original data.
2016-01-21 10:45:43,200 - INFO: spotguide_tbl----Start make spotguide_tbl.
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 783978971,outlink = 783975422 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 969750477,outlink = 777074818 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 116168075,outlink = 116154371 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 1035607952,outlink = 867585637 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 116163963,outlink = 925939203 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 1089975490,outlink = 851338970 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 1068742760,outlink = 1068742759 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 956660192,outlink = 808963868 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 116173431,outlink = 116166728 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 877516101,outlink = 784671779 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 810156510,outlink = 786731053 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 843737183,outlink = 752093803 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 752113149,outlink = 751880415 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 726763072,outlink = 945201002 pathlink is null
2016-01-21 10:46:01,673 - WARNING: spotguide_tbl----inlink = 983265536,outlink = 1025117008 pathlink is null
