lonlat;field;value
'MULTILINESTRING((110.28512 1.50869,110.2862 1.5086,110.28781 1.50845,110.28785 1.50845))';one_way;1
'MULTILINESTRING((110.28785 1.50845,110.28943 1.5083))';one_way;1
'MULTILINESTRING((110.28943 1.5083,110.29052 1.5082))';one_way;1
'MULTILINESTRING((110.29052 1.5082,110.29109 1.50814))';one_way;1
'MULTILINESTRING((110.29109 1.50814,110.29214 1.50802,110.29239 1.508))';one_way;1
'MULTILINESTRING((110.27323 1.50842,110.27305 1.50841))';one_way;1
'MULTILINESTRING((110.27305 1.50841,110.2726 1.50837))';one_way;1
'MULTILINESTRING((110.2726 1.50837,110.27242 1.50837))';one_way;1
'MULTILINESTRING((110.27242 1.50837,110.27188 1.5083,110.27172 1.50827,110.27145 1.50818,110.26931 1.50733,110.26803 1.50683))';one_way;1
'MULTILINESTRING((110.26803 1.50683,110.2675 1.50663))';one_way;1
'MULTILINESTRING((110.2675 1.50663,110.26665 1.50629,110.26638 1.50618))';one_way;1
'MULTILINESTRING((110.26638 1.50618,110.26603 1.50605,110.26578 1.50594,110.26541 1.50579,110.26515 1.50567,110.2649 1.50554,110.26455 1.50533,110.26359 1.50468,110.26297 1.50426,110.26268 1.50408,110.26246 1.50396,110.26211 1.50381,110.26187 1.50373,110.26163 1.50367,110.26139 1.50362,110.26123 1.5036,110.26097 1.50358,110.26042 1.50358,110.26023 1.5036))';one_way;1
'MULTILINESTRING((110.26023 1.5036,110.25947 1.50364,110.25875 1.50368,110.25823 1.5037,110.25777 1.50372,110.25747 1.50372,110.25718 1.50369,110.25699 1.50366,110.25674 1.5036,110.25652 1.5035))';one_way;1
'MULTILINESTRING((110.26737 1.50672,110.26745 1.50682,110.26748 1.50689,110.26749 1.50698,110.26742 1.50716))';one_way;1
'MULTILINESTRING((110.26742 1.50716,110.26754 1.50693,110.26764 1.50689,110.26777 1.50688))';one_way;1
